diseaseId,geneId,geneSymbol,DSI,DPI,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,Gene_Description,PsychiatricDisorder,diseaseClassNameMSH,doClassId,doClassName,umlsSemanticTypeId,umlsSemanticTypeName,HGNC.ID,Approved.name,Ensembl.gene.ID
C0024809,19,ABCA1,0.484,0.793,MARIJUANA ABUSE,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1,CANNABIS USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:21027,ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1,ENSG00000170209
C0011581,19,ABCA1,0.484,0.793,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0036341,19,ABCA1,0.484,0.793,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0005586,19,ABCA1,0.484,0.793,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.02,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0036341,23,ABCF1,0.743,0.31,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0036341,26,AOC1,0.727,0.483,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0085762,28,ABO,0.491,0.828,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0525045,28,ABO,0.491,0.828,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.33,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C0001973,28,ABO,0.491,0.828,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0036341,31,ACACA,0.552,0.759,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.02,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0005586,35,ACADS,0.762,0.276,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0005586,40,ASIC2,0.743,0.276,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C1269683,43,ACHE,0.494,0.793,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0525045,43,ACHE,0.494,0.793,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C1269683,49,ACR,0.727,0.379,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,52,ACP1,0.582,0.655,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0036341,52,ACP1,0.582,0.655,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0041696,52,ACP1,0.582,0.655,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0036341,60,ACTB,0.453,0.862,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0005586,60,ACTB,0.453,0.862,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0011570,102,ADAM10,0.552,0.724,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0011581,102,ADAM10,0.552,0.724,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0041696,103,ADAR,0.586,0.655,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,103,ADAR,0.586,0.655,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0525045,104,ADARB1,0.656,0.586,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.02,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C0036341,104,ADARB1,0.656,0.586,SCHIZOPHRENIA,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 1",SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,ENSG00000165029
C0041696,104,ADARB1,0.656,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,104,ADARB1,0.656,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0005586,104,ADARB1,0.656,0.586,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.33,0.333333333,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0001973,107,ADCY1,0.762,0.31,ALCOHOLIC DISORDER,DISEASE,C25;F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",ALCOHOL USE DISORDERS,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,"ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE",ENSG00000175164
C0525045,107,ADCY1,0.762,0.31,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C0011570,107,ADCY1,0.762,0.31,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0011581,107,ADCY1,0.762,0.31,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0005586,108,ADCY2,0.762,0.207,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.42,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C0005586,109,ADCY3,0.701,0.31,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 13",BIPOLAR DISORDERS AND RELATED DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14638,ATP BINDING CASSETTE SUBFAMILY A MEMBER 13,ENSG00000179869
C1269683,109,ADCY3,0.701,0.31,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.01,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0525045,109,ADCY3,0.701,0.31,MOOD DISORDERS,GROUP,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:73,ATP BINDING CASSETTE SUBFAMILY G MEMBER 1,ENSG00000160179
C0011581,111,ADCY5,0.645,0.448,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C1269683,111,ADCY5,0.645,0.448,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0011570,111,ADCY5,0.645,0.448,DEPRESSIVE DISORDER,DISEASE,F01,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,BEHAVIOR AND BEHAVIOR MECHANISMS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
C0041696,111,ADCY5,0.645,0.448,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.31,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C1269683,113,ADCY7,0.685,0.345,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,"ATP-BINDING CASSETTE, SUB-FAMILY B (MDR/TAP), MEMBER 1",DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:40,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1,ENSG00000085563
C0011581,113,ADCY7,0.685,0.345,DEPRESSIVE DISORDER,DISEASE,F03,MENTAL OR BEHAVIORAL DYSFUNCTION,0.32,1,ALPHA-2-MACROGLOBULIN,DEPRESSIVE DISORDERS,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7,ALPHA-2-MACROGLOBULIN,ENSG00000175899
